outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-0.9901712004237702,0.3715130823801482,Per-Protocol,19,12,1
Any Microvascular Event,W^A,-0.8369018649300513,0.43305009495706304,Per-Protocol,19,12,1
Any Microvascular Event,W^A x W^N,-0.833713705689215,0.4344329307981749,Per-Protocol,19,12,1
Any Microvascular Event,W^A x W^N x W^R,-0.774481098523637,0.46094290290608203,Per-Protocol,19,12,1
Retinopathy,Unweighted,-0.7615812367186532,0.46692752003082133,Per-Protocol,19,12,1
Retinopathy,W^A,-0.7052127699717872,0.4940034539723539,Per-Protocol,19,12,1
Retinopathy,W^A x W^N,-0.7037069309004522,0.4947479040450497,Per-Protocol,19,12,1
Retinopathy,W^A x W^N x W^R,-0.6557325331342687,0.5190616933983963,Per-Protocol,19,12,1
Neuropathy,Unweighted,-0.94316919282707,0.3893918200446048,Per-Protocol,19,12,1
Neuropathy,W^A,-0.7794823137072218,0.45864338325060333,Per-Protocol,19,12,1
Neuropathy,W^A x W^N,-0.7767641732456756,0.45989173621879464,Per-Protocol,19,12,1
Neuropathy,W^A x W^N x W^R,-0.6748472591012122,0.5092341955564129,Per-Protocol,19,12,1
Nephropathy,Unweighted,-1.4854467079103761,0.2264011828848449,Per-Protocol,19,12,1
Nephropathy,W^A,-1.2612419645885433,0.28330195691769167,Per-Protocol,19,12,1
Nephropathy,W^A x W^N,-1.254073281812981,0.2853401556480155,Per-Protocol,19,12,1
Nephropathy,W^A x W^N x W^R,-1.1306868112360897,0.32281146972362806,Per-Protocol,19,12,1
