outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-0.9673522743299747,0.3800880759395481,Intent-To-Treat,19,12,1
Any Microvascular Event,W^A,-0.8170444543532982,0.4417352959020012,Intent-To-Treat,19,12,1
Any Microvascular Event,W^A x W^R,-0.7538177800422101,0.47056659924288313,Intent-To-Treat,19,12,1
Retinopathy,Unweighted,-0.7464859150038192,0.4740294089545463,Intent-To-Treat,19,12,1
Retinopathy,W^A,-0.6904825550165006,0.501334089406716,Intent-To-Treat,19,12,1
Retinopathy,W^A x W^R,-0.659700982070051,0.5170059054164176,Intent-To-Treat,19,12,1
Neuropathy,Unweighted,-0.9205832059900274,0.3982866901534269,Intent-To-Treat,19,12,1
Neuropathy,W^A,-0.7561751783165578,0.46945859287314373,Intent-To-Treat,19,12,1
Neuropathy,W^A x W^R,-0.6422275228548902,0.5261191753215775,Intent-To-Treat,19,12,1
Nephropathy,Unweighted,-1.4575817648709082,0.23279855623799559,Intent-To-Treat,19,12,1
Nephropathy,W^A,-1.2584797692527516,0.28408557401522455,Intent-To-Treat,19,12,1
Nephropathy,W^A x W^R,-1.140895662412441,0.3195327001825829,Intent-To-Treat,19,12,1
