outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-1.0562214060515451,0.3477674025851056,Per-Protocol,17,6,18
Any Microvascular Event,W^A,-0.8834995249421675,0.4133339054321145,Per-Protocol,17,6,18
Any Microvascular Event,W^A x W^N,-0.8802197023109324,0.41469179292721664,Per-Protocol,17,6,18
Any Microvascular Event,W^A x W^N x W^R,-0.8473497692592202,0.4285491824893824,Per-Protocol,17,6,18
Retinopathy,Unweighted,-0.8041309902484741,0.44747661919170895,Per-Protocol,17,6,18
Retinopathy,W^A,-0.7290267480549639,0.48237823726295986,Per-Protocol,17,6,18
Retinopathy,W^A x W^N,-0.7274703541470613,0.48312959236332004,Per-Protocol,17,6,18
Retinopathy,W^A x W^N x W^R,-0.7136470221450741,0.4898544258374785,Per-Protocol,17,6,18
Neuropathy,Unweighted,-1.0283966068893156,0.35757984222470657,Per-Protocol,17,6,18
Neuropathy,W^A,-0.8715816107625969,0.4182894546942967,Per-Protocol,17,6,18
Neuropathy,W^A x W^N,-0.8686800767179523,0.41950489826032644,Per-Protocol,17,6,18
Neuropathy,W^A x W^N x W^R,-0.8425791046796824,0.4305985313861703,Per-Protocol,17,6,18
Nephropathy,Unweighted,-1.496627012298803,0.2238840461437222,Per-Protocol,17,6,18
Nephropathy,W^A,-1.203019120119027,0.30028624173248747,Per-Protocol,17,6,18
Nephropathy,W^A x W^N,-1.1959891608350608,0.30240467932593307,Per-Protocol,17,6,18
Nephropathy,W^A x W^N x W^R,-1.1233209031737452,0.32519804819927345,Per-Protocol,17,6,18
