outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-1.080947960424373,0.3392737550633182,Intent-To-Treat,5,1,18
Any Microvascular Event,W^A,-0.8990552491553121,0.4069539482699367,Intent-To-Treat,5,1,18
Any Microvascular Event,W^A x W^R,-0.8500246627933681,0.4274043908325648,Intent-To-Treat,5,1,18
Retinopathy,Unweighted,-0.8053185987384861,0.4469455075984176,Intent-To-Treat,5,1,18
Retinopathy,W^A,-0.7309418672162229,0.48145530949821036,Intent-To-Treat,5,1,18
Retinopathy,W^A x W^R,-0.7071716276565798,0.4930367186677898,Intent-To-Treat,5,1,18
Neuropathy,Unweighted,-1.0789862787721125,0.3399399553865558,Intent-To-Treat,5,1,18
Neuropathy,W^A,-0.8968737142080032,0.4078427016007865,Intent-To-Treat,5,1,18
Neuropathy,W^A x W^R,-0.8596881310307882,0.4232940740211592,Intent-To-Treat,5,1,18
Nephropathy,Unweighted,-1.4969589311535119,0.22380974713884103,Intent-To-Treat,5,1,18
Nephropathy,W^A,-1.202861384208175,0.30033361139219344,Intent-To-Treat,5,1,18
Nephropathy,W^A x W^R,-1.0944135094549132,0.334735868812278,Intent-To-Treat,5,1,18
