outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-0.9809549451992536,0.3749528683917768,Intent-To-Treat,7,3,1
Any Microvascular Event,W^A,-0.8152034451392343,0.44254928370154856,Intent-To-Treat,7,3,1
Any Microvascular Event,W^A x W^R,-0.7641756459132196,0.4657176890565692,Intent-To-Treat,7,3,1
Retinopathy,Unweighted,-0.7408579662846186,0.47670474342062785,Intent-To-Treat,7,3,1
Retinopathy,W^A,-0.6771011108411367,0.5080877496236235,Intent-To-Treat,7,3,1
Retinopathy,W^A x W^R,-0.664170784807494,0.5147001479844726,Intent-To-Treat,7,3,1
Neuropathy,Unweighted,-0.955494870569396,0.3846217594597683,Intent-To-Treat,7,3,1
Neuropathy,W^A,-0.7634170335244947,0.46607112230760733,Intent-To-Treat,7,3,1
Neuropathy,W^A x W^R,-0.6712536368955817,0.5110674829676652,Intent-To-Treat,7,3,1
Nephropathy,Unweighted,-1.4542277106896018,0.23358068612873717,Intent-To-Treat,7,3,1
Nephropathy,W^A,-1.2223436139217014,0.2945390715414064,Intent-To-Treat,7,3,1
Nephropathy,W^A x W^R,-1.1225984156511881,0.3254330846266766,Intent-To-Treat,7,3,1
