outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-1.069572775568533,0.34315509034508745,Per-Protocol,9,3,6
Any Microvascular Event,W^A,-0.8778843076704881,0.4156613936773637,Per-Protocol,9,3,6
Any Microvascular Event,W^A x W^N,-0.8742418865767796,0.4171781681943324,Per-Protocol,9,3,6
Any Microvascular Event,W^A x W^N x W^R,-0.8359360400775602,0.43346854754457215,Per-Protocol,9,3,6
Retinopathy,Unweighted,-0.8048114608496268,0.4471722280839912,Per-Protocol,9,3,6
Retinopathy,W^A,-0.707174908898029,0.4930351008979267,Per-Protocol,9,3,6
Retinopathy,W^A x W^N,-0.7053322196884304,0.49394444892389444,Per-Protocol,9,3,6
Retinopathy,W^A x W^N x W^R,-0.693520863389427,0.4998131934906255,Per-Protocol,9,3,6
Neuropathy,Unweighted,-1.0476676876458777,0.35075486576180614,Per-Protocol,9,3,6
Neuropathy,W^A,-0.8610555382330309,0.422715654213509,Per-Protocol,9,3,6
Neuropathy,W^A x W^N,-0.8578026297751373,0.42409294843191375,Per-Protocol,9,3,6
Neuropathy,W^A x W^N x W^R,-0.8167068552997501,0.44188445049562475,Per-Protocol,9,3,6
Nephropathy,Unweighted,-1.5218037515278748,0.21831774062983947,Per-Protocol,9,3,6
Nephropathy,W^A,-1.2371053232441538,0.29022310527630174,Per-Protocol,9,3,6
Nephropathy,W^A x W^N,-1.2293492836444067,0.29248283913818235,Per-Protocol,9,3,6
Nephropathy,W^A x W^N x W^R,-1.146375299704948,0.3177865653444553,Per-Protocol,9,3,6
