outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-1.0792256242096405,0.33985860204536444,Per-Protocol,10,3,12
Any Microvascular Event,W^A,-0.8904469839753784,0.41047223722877285,Per-Protocol,10,3,12
Any Microvascular Event,W^A x W^N,-0.8867741172781445,0.41198261905667316,Per-Protocol,10,3,12
Any Microvascular Event,W^A x W^N x W^R,-0.8472751142391992,0.42858117703144283,Per-Protocol,10,3,12
Retinopathy,Unweighted,-0.8151147252629425,0.44258854836100364,Per-Protocol,10,3,12
Retinopathy,W^A,-0.7275758291055183,0.48307863697694203,Per-Protocol,10,3,12
Retinopathy,W^A x W^N,-0.7257552342467299,0.4839589285438145,Per-Protocol,10,3,12
Retinopathy,W^A x W^N x W^R,-0.711271615384895,0.49101941246287734,Per-Protocol,10,3,12
Neuropathy,Unweighted,-1.0612977057287756,0.3460065042368242,Per-Protocol,10,3,12
Neuropathy,W^A,-0.8826113068928656,0.4137011991616203,Per-Protocol,10,3,12
Neuropathy,W^A x W^N,-0.8793237619513121,0.4150634985294646,Per-Protocol,10,3,12
Neuropathy,W^A x W^N x W^R,-0.8476152659273541,0.42843541921185374,Per-Protocol,10,3,12
Nephropathy,Unweighted,-1.505160253118465,0.22198171771892736,Per-Protocol,10,3,12
Nephropathy,W^A,-1.2052439239458836,0.2996189063731213,Per-Protocol,10,3,12
Nephropathy,W^A x W^N,-1.197442991005282,0.30196535370931166,Per-Protocol,10,3,12
Nephropathy,W^A x W^N x W^R,-1.106122631252605,0.3308392631889841,Per-Protocol,10,3,12
