outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-1.0031635400493464,0.3667174787523647,Intent-To-Treat,20,12,3
Any Microvascular Event,W^A,-0.8105428514699362,0.44461663990302414,Intent-To-Treat,20,12,3
Any Microvascular Event,W^A x W^R,-0.7788464432352038,0.45893511377678287,Intent-To-Treat,20,12,3
Retinopathy,Unweighted,-0.7748434208000825,0.46077592327623623,Intent-To-Treat,20,12,3
Retinopathy,W^A,-0.6845448711585274,0.5043197077941264,Intent-To-Treat,20,12,3
Retinopathy,W^A x W^R,-0.6625812779046134,0.5155189179704925,Intent-To-Treat,20,12,3
Neuropathy,Unweighted,-0.9609093661037793,0.3825448544312562,Intent-To-Treat,20,12,3
Neuropathy,W^A,-0.7747896710379685,0.46080069053811146,Intent-To-Treat,20,12,3
Neuropathy,W^A x W^R,-0.709202908235202,0.49203623922784673,Intent-To-Treat,20,12,3
Nephropathy,Unweighted,-1.4759172135886383,0.2285689842921412,Intent-To-Treat,20,12,3
Nephropathy,W^A,-1.1600196261872755,0.3134800284044861,Intent-To-Treat,20,12,3
Nephropathy,W^A x W^R,-1.1127544896211896,0.32865244340725314,Intent-To-Treat,20,12,3
