outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-1.0394112650647882,0.35366283434534207,Per-Protocol,8,3,3
Any Microvascular Event,W^A,-0.8414265604135229,0.43109510135900503,Per-Protocol,8,3,3
Any Microvascular Event,W^A x W^N,-0.8377930054651959,0.4326643583619836,Per-Protocol,8,3,3
Any Microvascular Event,W^A x W^N x W^R,-0.8015643328629452,0.44862661355064526,Per-Protocol,8,3,3
Retinopathy,Unweighted,-0.7826668534717491,0.457185138310777,Per-Protocol,8,3,3
Retinopathy,W^A,-0.7037725931770575,0.4947154188378624,Per-Protocol,8,3,3
Retinopathy,W^A x W^N,-0.7019116886948646,0.49563689410099165,Per-Protocol,8,3,3
Retinopathy,W^A x W^N x W^R,-0.6904724210801199,0.5013391699202262,Per-Protocol,8,3,3
Neuropathy,Unweighted,-1.0177013134020942,0.36142478834435454,Per-Protocol,8,3,3
Neuropathy,W^A,-0.8231094188955499,0.43906429494579796,Per-Protocol,8,3,3
Neuropathy,W^A x W^N,-0.8198685262137309,0.44048956352988583,Per-Protocol,8,3,3
Neuropathy,W^A x W^N x W^R,-0.7604054526234716,0.46747684886524365,Per-Protocol,8,3,3
Nephropathy,Unweighted,-1.501691294853928,0.22275310020646535,Per-Protocol,8,3,3
Nephropathy,W^A,-1.1856165108978356,0.30555774174001366,Per-Protocol,8,3,3
Nephropathy,W^A x W^N,-1.1778973702100455,0.30792551175469884,Per-Protocol,8,3,3
Nephropathy,W^A x W^N x W^R,-1.1139564998174363,0.3282576371473668,Per-Protocol,8,3,3
