outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-1.0448337083256591,0.35175030766248583,Per-Protocol,24,12,24
Any Microvascular Event,W^A,-0.8305601549793273,0.43580509954017616,Per-Protocol,24,12,24
Any Microvascular Event,W^A x W^N,-0.8275017377869549,0.437140013670741,Per-Protocol,24,12,24
Any Microvascular Event,W^A x W^N x W^R,-0.7837174236008311,0.45670508546974786,Per-Protocol,24,12,24
Retinopathy,Unweighted,-0.8041792184671106,0.4474550387118821,Per-Protocol,24,12,24
Retinopathy,W^A,-0.7189350892380002,0.4872708797707984,Per-Protocol,24,12,24
Retinopathy,W^A x W^N,-0.7175561716127339,0.4879432496399873,Per-Protocol,24,12,24
Retinopathy,W^A x W^N x W^R,-0.6908696503928464,0.5011400628545154,Per-Protocol,24,12,24
Neuropathy,Unweighted,-1.0124902787776344,0.3633131011892894,Per-Protocol,24,12,24
Neuropathy,W^A,-0.7781838763917701,0.4592392897237797,Per-Protocol,24,12,24
Neuropathy,W^A x W^N,-0.7754976511370435,0.46047456827722777,Per-Protocol,24,12,24
Neuropathy,W^A x W^N x W^R,-0.7410513045768985,0.47661258704857806,Per-Protocol,24,12,24
Nephropathy,Unweighted,-1.4765871277084415,0.2284159139799212,Per-Protocol,24,12,24
Nephropathy,W^A,-1.1500339025828357,0.31662603475671725,Per-Protocol,24,12,24
Nephropathy,W^A x W^N,-1.1434658004825833,0.3187125114757854,Per-Protocol,24,12,24
Nephropathy,W^A x W^N x W^R,-1.0755653434915518,0.34110485936772095,Per-Protocol,24,12,24
