outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-1.0835626196076271,0.3383878285266975,Intent-To-Treat,4,1,12
Any Microvascular Event,W^A,-0.8942054451901074,0.40893238878840704,Intent-To-Treat,4,1,12
Any Microvascular Event,W^A x W^R,-0.8436133462422148,0.43015341870493923,Intent-To-Treat,4,1,12
Retinopathy,Unweighted,-0.809975087992477,0.444869148668476,Intent-To-Treat,4,1,12
Retinopathy,W^A,-0.7266053937558672,0.48354766110491415,Intent-To-Treat,4,1,12
Retinopathy,W^A x W^R,-0.7051155969443403,0.49405146011595896,Intent-To-Treat,4,1,12
Neuropathy,Unweighted,-1.0803849052591659,0.33946483869379007,Intent-To-Treat,4,1,12
Neuropathy,W^A,-0.8975549179982663,0.4075649722125207,Intent-To-Treat,4,1,12
Neuropathy,W^A x W^R,-0.8575755890151013,0.424189245748546,Intent-To-Treat,4,1,12
Nephropathy,Unweighted,-1.4923088402469658,0.2248529063216074,Intent-To-Treat,4,1,12
Nephropathy,W^A,-1.1853520445755361,0.3056385621588902,Intent-To-Treat,4,1,12
Nephropathy,W^A x W^R,-1.0706842885171994,0.3427738809176229,Intent-To-Treat,4,1,12
