outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-1.0257089532730337,0.35854218562434126,Intent-To-Treat,21,12,6
Any Microvascular Event,W^A,-0.8329919366311458,0.43474660423170336,Intent-To-Treat,21,12,6
Any Microvascular Event,W^A x W^R,-0.8057919376891567,0.4467340009419625,Intent-To-Treat,21,12,6
Retinopathy,Unweighted,-0.7898954477834614,0.4538922482422799,Intent-To-Treat,21,12,6
Retinopathy,W^A,-0.6993085906346019,0.49692876624406557,Intent-To-Treat,21,12,6
Retinopathy,W^A x W^R,-0.6882514915811431,0.5024538462222541,Intent-To-Treat,21,12,6
Neuropathy,Unweighted,-0.9842771038601628,0.3737092823115108,Intent-To-Treat,21,12,6
Neuropathy,W^A,-0.7978125997779264,0.45031290213391156,Intent-To-Treat,21,12,6
Neuropathy,W^A x W^R,-0.759227114907425,0.4680280191362252,Intent-To-Treat,21,12,6
Nephropathy,Unweighted,-1.487291768969957,0.22598384400471305,Intent-To-Treat,21,12,6
Nephropathy,W^A,-1.2034565240886446,0.30015492405986144,Intent-To-Treat,21,12,6
Nephropathy,W^A x W^R,-1.1495599464412116,0.3167761371786608,Intent-To-Treat,21,12,6
