outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-1.0727391497063055,0.3420702513512167,Intent-To-Treat,3,1,6
Any Microvascular Event,W^A,-0.891628405232197,0.4099875829491825,Intent-To-Treat,3,1,6
Any Microvascular Event,W^A x W^R,-0.8423634199790806,0.4306914149179102,Intent-To-Treat,3,1,6
Retinopathy,Unweighted,-0.7983908502177233,0.45005258377206364,Intent-To-Treat,3,1,6
Retinopathy,W^A,-0.7220368401767203,0.4857618284226402,Intent-To-Treat,3,1,6
Retinopathy,W^A x W^R,-0.7048462180149633,0.4941845650963758,Intent-To-Treat,3,1,6
Neuropathy,Unweighted,-1.0660145825951224,0.34437827725333736,Intent-To-Treat,3,1,6
Neuropathy,W^A,-0.8814458998434294,0.414183610503673,Intent-To-Treat,3,1,6
Neuropathy,W^A x W^R,-0.833288663758708,0.43461762225778394,Intent-To-Treat,3,1,6
Nephropathy,Unweighted,-1.5071458437682956,0.22154139019556643,Intent-To-Treat,3,1,6
Nephropathy,W^A,-1.2291644381370483,0.29253690827404094,Intent-To-Treat,3,1,6
Nephropathy,W^A x W^R,-1.120634921237821,0.3260726984038125,Intent-To-Treat,3,1,6
