outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-1.00762406147975,0.3650853703128908,Intent-To-Treat,14,6,3
Any Microvascular Event,W^A,-0.8161530928661298,0.44212921726937743,Intent-To-Treat,14,6,3
Any Microvascular Event,W^A x W^R,-0.784187353979318,0.45649051629631127,Intent-To-Treat,14,6,3
Retinopathy,Unweighted,-0.7719306883273092,0.46211999678364946,Intent-To-Treat,14,6,3
Retinopathy,W^A,-0.6911867728207985,0.5009811652973601,Intent-To-Treat,14,6,3
Retinopathy,W^A x W^R,-0.6811346059533907,0.5060425076784651,Intent-To-Treat,14,6,3
Neuropathy,Unweighted,-0.9736652108176367,0.3776961620005879,Intent-To-Treat,14,6,3
Neuropathy,W^A,-0.7877866268238991,0.45485043569655115,Intent-To-Treat,14,6,3
Neuropathy,W^A x W^R,-0.7284967912161511,0.482633944659649,Intent-To-Treat,14,6,3
Nephropathy,Unweighted,-1.4736750368915565,0.2290820513209171,Intent-To-Treat,14,6,3
Nephropathy,W^A,-1.1645333679685814,0.31206824910323006,Intent-To-Treat,14,6,3
Nephropathy,W^A x W^R,-1.1037382388457209,0.33162905502867845,Intent-To-Treat,14,6,3
