outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-1.0233463090807682,0.3593902947323998,Intent-To-Treat,24,12,24
Any Microvascular Event,W^A,-0.8566449768860496,0.42458418514484636,Intent-To-Treat,24,12,24
Any Microvascular Event,W^A x W^R,-0.8284721534068265,0.4367160119356311,Intent-To-Treat,24,12,24
Retinopathy,Unweighted,-0.7899898317233296,0.45384941012526214,Intent-To-Treat,24,12,24
Retinopathy,W^A,-0.7229132701288528,0.48533627871610224,Intent-To-Treat,24,12,24
Retinopathy,W^A x W^R,-0.7102738863001017,0.4915095612890992,Intent-To-Treat,24,12,24
Neuropathy,Unweighted,-0.9911753298008481,0.37114022241131445,Intent-To-Treat,24,12,24
Neuropathy,W^A,-0.8349701351524885,0.43388743922170825,Intent-To-Treat,24,12,24
Neuropathy,W^A x W^R,-0.8100093993123831,0.4448538848826614,Intent-To-Treat,24,12,24
Nephropathy,Unweighted,-1.4505786490148438,0.23443459349124088,Intent-To-Treat,24,12,24
Nephropathy,W^A,-1.1782572276539511,0.30781472240250757,Intent-To-Treat,24,12,24
Nephropathy,W^A x W^R,-1.121172778319294,0.3258973650502708,Intent-To-Treat,24,12,24
