outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-1.0455562025771128,0.3514962618716153,Per-Protocol,23,12,18
Any Microvascular Event,W^A,-0.8756125103301828,0.4166067655660651,Per-Protocol,23,12,18
Any Microvascular Event,W^A x W^N,-0.8725641066296594,0.41787868885473617,Per-Protocol,23,12,18
Any Microvascular Event,W^A x W^N x W^R,-0.8458494949985633,0.4291926063327261,Per-Protocol,23,12,18
Retinopathy,Unweighted,-0.8018515076458206,0.4484977977975099,Per-Protocol,23,12,18
Retinopathy,W^A,-0.7267470899027471,0.48347914911855966,Per-Protocol,23,12,18
Retinopathy,W^A x W^N,-0.7253809306684023,0.4841401100088521,Per-Protocol,23,12,18
Retinopathy,W^A x W^N x W^R,-0.7134607950703051,0.4899456584889961,Per-Protocol,23,12,18
Neuropathy,Unweighted,-1.0097570433477783,0.36430747974589334,Per-Protocol,23,12,18
Neuropathy,W^A,-0.8569999593212101,0.4244334919651714,Per-Protocol,23,12,18
Neuropathy,W^A x W^N,-0.8543292195385677,0.4255685584361504,Per-Protocol,23,12,18
Neuropathy,W^A x W^N x W^R,-0.8320275143120535,0.43516608580615673,Per-Protocol,23,12,18
Nephropathy,Unweighted,-1.4923430613262223,0.22484521174413824,Per-Protocol,23,12,18
Nephropathy,W^A,-1.2042500437007337,0.29991683971574595,Per-Protocol,23,12,18
Nephropathy,W^A x W^N,-1.1976195830684473,0.3019120337325766,Per-Protocol,23,12,18
Nephropathy,W^A x W^N x W^R,-1.1397296650157527,0.3199054917739293,Per-Protocol,23,12,18
