outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-1.0758283058824478,0.34101517341088894,Per-Protocol,12,3,24
Any Microvascular Event,W^A,-0.8973869981805045,0.4076334161947704,Per-Protocol,12,3,24
Any Microvascular Event,W^A x W^N,-0.8936893200568727,0.4091435035481847,Per-Protocol,12,3,24
Any Microvascular Event,W^A x W^N x W^R,-0.8548332851441627,0.42535409801862106,Per-Protocol,12,3,24
Retinopathy,Unweighted,-0.8127064220796738,0.4436557202918859,Per-Protocol,12,3,24
Retinopathy,W^A,-0.7296266177999255,0.48208895992583367,Per-Protocol,12,3,24
Retinopathy,W^A x W^N,-0.7277592731999505,0.4829900271815626,Per-Protocol,12,3,24
Retinopathy,W^A x W^N x W^R,-0.7090110069628635,0.49213067066865823,Per-Protocol,12,3,24
Neuropathy,Unweighted,-1.0626487057091678,0.3455393650799325,Per-Protocol,12,3,24
Neuropathy,W^A,-0.8939401135909408,0.40904090586894387,Per-Protocol,12,3,24
Neuropathy,W^A x W^N,-0.8906483955727627,0.41038957168496976,Per-Protocol,12,3,24
Neuropathy,W^A x W^N x W^R,-0.8613088504395172,0.42260858873949214,Per-Protocol,12,3,24
Nephropathy,Unweighted,-1.4938693825806686,0.22450228749135515,Per-Protocol,12,3,24
Nephropathy,W^A,-1.2038215927755465,0.3000453668950297,Per-Protocol,12,3,24
Nephropathy,W^A x W^N,-1.1960564812234091,0.30238432201072135,Per-Protocol,12,3,24
Nephropathy,W^A x W^N x W^R,-1.1136087308831844,0.32837181480856864,Per-Protocol,12,3,24
