outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-1.1027435285604614,0.331959093979963,Per-Protocol,3,1,6
Any Microvascular Event,W^A,-0.9162738536346877,0.40000675135276226,Per-Protocol,3,1,6
Any Microvascular Event,W^A x W^N,-0.9120088704016718,0.40171641669580743,Per-Protocol,3,1,6
Any Microvascular Event,W^A x W^N x W^R,-0.8637255779754396,0.42158849207051835,Per-Protocol,3,1,6
Retinopathy,Unweighted,-0.8190618432044277,0.4408450423366406,Per-Protocol,3,1,6
Retinopathy,W^A,-0.7334907861677635,0.48022968161215773,Per-Protocol,3,1,6
Retinopathy,W^A x W^N,-0.7311208527964164,0.48136914365175465,Per-Protocol,3,1,6
Retinopathy,W^A x W^N x W^R,-0.7154359632551852,0.48897888849300175,Per-Protocol,3,1,6
Neuropathy,Unweighted,-1.0953955942874565,0.3344072911645805,Per-Protocol,3,1,6
Neuropathy,W^A,-0.9103935996651193,0.4023658218094301,Per-Protocol,3,1,6
Neuropathy,W^A x W^N,-0.9065832171820061,0.40390191417984134,Per-Protocol,3,1,6
Neuropathy,W^A x W^N x W^R,-0.8599704809145843,0.42317457385977,Per-Protocol,3,1,6
Nephropathy,Unweighted,-1.5415149154461538,0.21405657805985775,Per-Protocol,3,1,6
Nephropathy,W^A,-1.2478853228927003,0.2871113030516036,Per-Protocol,3,1,6
Nephropathy,W^A x W^N,-1.2389867588040762,0.2896775825495723,Per-Protocol,3,1,6
Nephropathy,W^A x W^N x W^R,-1.1298791020318477,0.3230723128474737,Per-Protocol,3,1,6
