outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-1.110617706878906,0.32935545309853725,Per-Protocol,5,1,18
Any Microvascular Event,W^A,-0.9283717702402967,0.39519665775561696,Per-Protocol,5,1,18
Any Microvascular Event,W^A x W^N,-0.9240593873752259,0.39690457700491166,Per-Protocol,5,1,18
Any Microvascular Event,W^A x W^N x W^R,-0.8757356670445455,0.4165554608049644,Per-Protocol,5,1,18
Retinopathy,Unweighted,-0.8257364053304599,0.4379123926771843,Per-Protocol,5,1,18
Retinopathy,W^A,-0.7427727901179972,0.47579281118986344,Per-Protocol,5,1,18
Retinopathy,W^A x W^N,-0.7404462031178412,0.47690107329332765,Per-Protocol,5,1,18
Retinopathy,W^A x W^N x W^R,-0.7174549161173802,0.4879926590768804,Per-Protocol,5,1,18
Neuropathy,Unweighted,-1.1080573424380953,0.3301998035502147,Per-Protocol,5,1,18
Neuropathy,W^A,-0.9340810450479937,0.39294680007262806,Per-Protocol,5,1,18
Neuropathy,W^A x W^N,-0.9302222163379827,0.3944660438317743,Per-Protocol,5,1,18
Neuropathy,W^A x W^N x W^R,-0.894308982856348,0.40889005107503357,Per-Protocol,5,1,18
Nephropathy,Unweighted,-1.5307768130181305,0.21636752490680788,Per-Protocol,5,1,18
Nephropathy,W^A,-1.2211997403732422,0.29487617976216135,Per-Protocol,5,1,18
Nephropathy,W^A x W^N,-1.2122937364639395,0.29751407729897156,Per-Protocol,5,1,18
Nephropathy,W^A x W^N x W^R,-1.1042912071648,0.3314457253599823,Per-Protocol,5,1,18
