outcome,weights,estimate,exp_est,effect,file_id,bmi_lookback,a1c_lookback
Any Microvascular Event,Unweighted,-1.0507486752751616,0.34967585741870044,Intent-To-Treat,11,3,18
Any Microvascular Event,W^A,-0.8731104722981682,0.4176504366458079,Intent-To-Treat,11,3,18
Any Microvascular Event,W^A x W^R,-0.8333814122307821,0.43457731400667626,Intent-To-Treat,11,3,18
Retinopathy,Unweighted,-0.792844183522921,0.4525558113160527,Intent-To-Treat,11,3,18
Retinopathy,W^A,-0.7083929740090262,0.492434917648371,Intent-To-Treat,11,3,18
Retinopathy,W^A x W^R,-0.6904143976082242,0.5013682602034137,Intent-To-Treat,11,3,18
Neuropathy,Unweighted,-1.0344931051223911,0.35540648900190824,Intent-To-Treat,11,3,18
Neuropathy,W^A,-0.8702068784655888,0.41886488615864714,Intent-To-Treat,11,3,18
Neuropathy,W^A x W^R,-0.8393379965545966,0.4319964119021429,Intent-To-Treat,11,3,18
Nephropathy,Unweighted,-1.479450369687525,0.22776283934784136,Intent-To-Treat,11,3,18
Nephropathy,W^A,-1.1801092938473614,0.30724515676075487,Intent-To-Treat,11,3,18
Nephropathy,W^A x W^R,-1.0916195041869745,0.335672430362791,Intent-To-Treat,11,3,18
